procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 0  0    868 111804 307708 1477528    0    0     0     2    8    7 36  0 64  0  1 2020-07-25 18:06:01
 0  0    868 111620 307708 1477536    0    0     0     0  134  184  1  0 99  0  0 2020-07-25 18:06:02
 0  0    868 111620 307708 1477536    0    0     0     0   94  123  0  0 100  0  0 2020-07-25 18:06:03
 0  0    868 111716 307708 1477536    0    0     0     0   96  139  0  0 100  0  0 2020-07-25 18:06:04
 0  0    868 111748 307708 1477536    0    0     0     0   89  125  0  0 100  0  0 2020-07-25 18:06:05
 0  0    868 111864 307708 1477536    0    0     0     0  106  136  0  0 100  0  0 2020-07-25 18:06:06
 0  0    868 111672 307708 1477536    0    0     0    28  105  142  0  0 100  0  0 2020-07-25 18:06:07
 0  0    868 111744 307708 1477536    0    0     0     0   86  127  0  0 100  0  0 2020-07-25 18:06:08
 0  0    868 111140 307708 1477560    0    0     0     0  130  186  0  0 99  0  0 2020-07-25 18:06:09
 0  0    868 110676 307708 1477560    0    0     0     0  137  199  0  0 100  0  0 2020-07-25 18:06:10
 
